date,total_positives,total_negatives,total_deaths,total_recovered
2020-02-07,0,9,0,0
2020-02-08,0,9,0,0
2020-02-09,0,9,0,0
2020-02-10,0,9,0,0
2020-02-11,0,9,0,0
2020-02-12,0,9,0,0
2020-02-13,0,9,0,0
2020-02-14,0,9,0,0
2020-02-15,0,10,0,0
2020-02-16,0,10,0,0
2020-02-17,0,10,0,0
2020-02-18,0,10,0,0
2020-02-19,0,11,0,0
2020-02-20,0,11,0,0
2020-02-21,0,11,0,0
2020-02-22,0,12,0,0
2020-02-23,0,13,0,0
2020-02-24,0,14,0,0
2020-02-25,0,15,0,0
2020-02-26,0,17,0,0
2020-02-27,0,21,0,0
2020-02-28,0,21,0,0
2020-02-29,0,25,0,0
2020-03-01,0,25,0,0
2020-03-02,1,32,0,0
2020-03-03,1,34,0,0
2020-03-04,1,34,0,0
2020-03-05,2,40,0,0
2020-03-06,2,50,0,0
2020-03-07,2,55,0,0
2020-03-08,2,55,0,0
2020-03-09,2,60,0,0
2020-03-10,3,63,0,0
2020-03-11,6,78,1,0
2020-03-12,6,91,1,0
2020-03-13,8,106,1,1
2020-03-14,18,112,1,1
2020-03-15,28,122,1,1
2020-03-16,37,152,1,1
2020-03-17,44,183,2,1
2020-03-18,54,263,2,1
2020-03-19,63,307,2,2
2020-03-20,86,385,3,2
2020-03-21,96,441,3,3
2020-03-22,115,512,4,3
2020-03-23,143,643,4,5
2020-03-24,170,685,5,6
2020-03-25,225,740,6,7
2020-03-26,275,931,10,8
2020-03-27,345,1207,23,11
2020-03-28,402,1574,25,12
2020-03-29,479,1794,26,13
2020-03-30,534,2107,33,14
2020-03-31,617,2462,36,24
2020-04-01,654,2691,39,29
2020-04-02,708,2916,44,31
2020-04-03,761,3062,48,57
2020-04-04,919,3402,59,66
2020-04-05,1024,3827,70,76
2020-04-06,1120,3984,80,81
2020-04-07,1184,4253,90,93
2020-04-08,1275,4477,93,97
2020-04-09,1374,5009,97,109
